language	简体中文
-- 此行为注释
tipTitle	提示
newVersionTitle	提示
checkingUpdate	正在检测版本
noNetwork	游戏无法连接网络，请检查网络配置
noWifi	发现新版本,当前处于非WIFI环境下,是否继续？
inWifi	正处于无线网络中，请放心下载
updating	正在更新资源信息...
checkingDownload	正在检测资源...
downloading 正在下载资源...
downloadcanvas	正在下载patch界面
loadingAsset	资源正在加载中，请稍候
oldEngine	检测到新的版本，请前往原应用商店更新
oldEngineDownload	检测到新的版本，是否前往下载？
resDownload	检测到新的资源版本，请重启游戏更新
oldEngineTitle	更新
retryPatch	当前网络信号不佳，是否重试？
retryPatchTitle	重试
retryDownload	网络信号不佳，是否重试？
alphaVersion	尚未开服，请等待服务器就绪
newVersionformat	检测到更新（{0}M），确定开始下载吗？
newVersionNotice	(建议在Wifi下下载)
appFatalError	包体错误，请重新下载游戏
patchErrorRetry	更新出错，是否重试，错误码：
patchErrorFatal	更新出错，建议进行重启，错误码：
fileCorrupt	文件损坏，是否清理已下载内容？
resSize	资源大小：
subpkgSpinner	下载中\n
patchVersion	正在获取版本信息...
patchInfo	正在获取补丁信息...
patchVersionRetry	版本信息获取失败，正在重试
patchInfoRetry	补丁信息获取失败，正在重试
fileDamagedTitle	文件损坏
fileDamaged	检测到文件损坏，可能会导致游戏出错，建议重启
btnConfirm	确认
btnCancel	取消
repaireWaiting	正在尝试修复文件，请稍候...
scanSubpkg	正在扫描游戏资源：
scanPatch	正在扫描补丁资源：
startSubpkg	分包组件初始化...
waiting	处理中，请稍候...
permissionTip	权限申请
updateCostTip	注意：若未在Wi-Fi环境下载，可能会额外产生流量费用
android.permission.READ_PHONE_STATE	电话状态权限|账号系统生成账号和记录设备信息
android.permission.CAMERA	摄像头权限|AR功能中使用摄像头进行拍摄
android.permission.WRITE_EXTERNAL_STORAGE	存储权限|截图保存到相册
