language	Русский 
-- 此行为注释
tipTitle	Подсказка
newVersionTitle	Подсказка
checkingUpdate	Проверка версии
noNetwork	Игра не может подключиться к сети. Проверьте настройки сети.
noWifi	Обнаружена новая версия. В данный момент вы не в сети Wi-Fi, продолжить?
inWifi	Вы подключены к беспроводной сети, загружайте без опасений.
updating	Обновить информацию о ресурсах...
checkingDownload	Проверка ресурсов...
downloading	Загрузка ресурсов...
downloadcanvas	Загрузка интерфейса патча
loadingAsset	Ресурс загружается, подождите
oldEngine	Обнаружена новая версия. Обновите из оригинального магазина приложений
oldEngineDownload	Обнаружена новая версия, перейти к загрузке?
resDownload	Обнаружена новая версия ресурса, перезапустите обновление игры
oldEngineTitle	Обновить
retryPatch	Текущий сигнал сети не очень хороший, хотите попробовать снова?
retryPatchTitle	Повторить
retryDownload	Плохое соединение с сетью, повторить попытку?
alphaVersion	Сервер пока недоступен. Подождите, пока он будет готов
newVersionformat	Обнаружено обновление ({0}M), вы уверены, что хотите начать загрузку?
newVersionNotice	(Рекомендуется загружать через Wi-Fi.)
appFatalError	Ошибка пакета. Перезагрузите игру.
patchErrorRetry	Ошибка обновления, можно повторить попытку. Код ошибки:  
patchErrorFatal	Ошибка обновления, рекомендуется перезапуск, Код ошибки: 
fileCorrupt	Файл поврежден, хотите удалить загруженный контент?
resSize	Размер ресурса: 
subpkgSpinner	Загрузка\n
patchVersion	Получение информации о версии...
patchInfo	Получение информации о патче...
patchVersionRetry	Не удалось получить информацию о версии, повторная попытка...
patchInfoRetry	Не удалось получить информацию о патче, повторная попытка...
fileDamagedTitle	Повреждение файла
fileDamaged	Обнаружено повреждение файла, которое может вызвать ошибки в игре. Рекомендуется перезапуск.
btnConfirm	Подтвердить
btnCancel	Отменить
repaireWaiting	Попытка восстановления файлов. Пожалуйста, подождите.
scanSubpkg	Сканирование игровых ресурсов: 
scanPatch	Сканирование ресурсов патча: 
startSubpkg	Инициализация компонента субподряда...
waiting	Обрабатывается. Пожалуйста, подождите.
permissionTip	Запрос разрешения
updateCostTip	Примечание: если загрузка происходит не в сети Wi-Fi, за передачу данных может взиматься дополнительная плата
android.permission.READ_PHONE_STATE	Разрешения на доступ к статусу телефона | Система аккаунтов создает аккаунты и регистрирует информацию об устройстве
android.permission.CAMERA	Разрешение на доступ к камере | Используйте камеру для съемки в функции AR
android.permission.WRITE_EXTERNAL_STORAGE	Разрешение на доступ к хранилищу | Сохраняйте скриншоты в фотоальбом
