language	ภาษาไทย
-- 此行为注释
tipTitle	เคล็ดลับ
newVersionTitle	เคล็ดลับ
checkingUpdate	กำลังตรวจสอบเวอร์ชัน
noNetwork	เกมไม่สามารถเชื่อมต่อกับเครือข่ายได้ โปรดตรวจสอบการตั้งค่าเครือข่ายของคุณ
noWifi	ตรวจพบเวอร์ชันใหม่ ขณะนี้อยู่ในสถานะที่ไม่ใช่ WiFi ดำเนินการต่อหรือไม่?
inWifi	เชื่อมต่อกับเครือข่ายไร้สาย โปรดดาวน์โหลดด้วยความมั่นใจ
updating	กำลังอัปเดตข้อมูลทรัพยากร...
checkingDownload	กำลังตรวจสอบทรัพยากร...
downloading	กำลังดาวน์โหลดทรัพยากร...
downloadcanvas	กำลังดาวน์โหลดอินเทอร์เฟซแพตช์
loadingAsset	กำลังโหลดทรัพยากร โปรดรอสักครู่
oldEngine	ตรวจพบเวอร์ชันใหม่ โปรดอัปเดตจากแอพสโตร์เดิม
oldEngineDownload	ตรวจพบเวอร์ชันใหม่ ไปดาวน์โหลดหรือไม่?
resDownload	ตรวจพบเวอร์ชันทรัพยากรใหม่ โปรดรีสตาร์ทเพื่ออัปเดตเกม
oldEngineTitle	อัปเดต
retryPatch	สัญญาณเครือข่ายปัจจุบันไม่ดี ต้องการลองใหม่หรือไม่?
retryPatchTitle	ลองใหม่
retryDownload	การเชื่อมต่อเครือข่ายไม่เสถียร ลองใหม่หรือไม่?
alphaVersion	เซิร์ฟเวอร์ยังไม่พร้อมใช้งาน โปรดรอจนกว่าจะพร้อม
newVersionformat	ตรวจพบการอัปเดต ({0}M) เริ่มดาวน์โหลดหรือไม่?
newVersionNotice	(แนะนำให้ดาวน์โหลดภายใต้ WiFi)
appFatalError	แพ็กเกจเกิดข้อผิดพลาด โปรดดาวน์โหลดเกมใหม่อีกครั้ง
patchErrorRetry	การอัปเดตเกิดข้อผิดพลาด ลองใหม่หรือไม่ รหัสข้อผิดพลาด:
patchErrorFatal	การอัปเดตเกิดข้อผิดพลาด แนะนำให้รีสตาร์ท รหัสข้อผิดพลาด: 
fileCorrupt	ไฟล์เกิดความเสียหาย ต้องการลบเนื้อหาที่ดาวน์โหลดไว้หรือไม่?
resSize	ขนาดทรัพยากร:
subpkgSpinner	กำลังดาวน์โหลด\n
patchVersion	กำลังดึงข้อมูลเวอร์ชัน...
patchInfo	กำลังดึงข้อมูลแพตช์...
patchVersionRetry	การดึงข้อมูลเวอร์ชันล้มเหลว กำลังลองใหม่...
patchInfoRetry	การดึงข้อมูลแพตช์ล้มเหลว กำลังลองใหม่...
fileDamagedTitle	ไฟล์เกิดความเสียหาย
fileDamaged	ไฟล์เกิดความเสียหาย อาจทำให้เกิดข้อผิดพลาดในเกมได้ แนะนำให้รีสตาร์ท
btnConfirm	ยืนยัน
btnCancel	ยกเลิก
repaireWaiting	กำลังพยายามซ่อมแซมไฟล์ โปรดรอสักครู่
scanSubpkg	กำลังสแกนทรัพยากรเกม:
scanPatch	กำลังสแกนทรัพยากรแพตช์:
startSubpkg	กำลังเริ่มต้นส่วนประกอบที่จำเป็น...
waiting	ดำเนินการอยู่ โปรดรอสักครู่
permissionTip	การขอใช้สิทธิ์
updateCostTip	หมายเหตุ: หากไม่ได้ดาวน์โหลดภายใต้สถานะ WiFi อาจมีค่าใช้จ่ายเพิ่มเติมสำหรับข้อมูล
android.permission.READ_PHONE_STATE	สิทธิ์การเข้าถึงสถานะโทรศัพท์ | ระบบบัญชีสร้างบัญชีและบันทึกข้อมูลอุปกรณ์
android.permission.CAMERA	สิทธิ์การเข้าถึงกล้อง | ใช้กล้องสำหรับถ่ายภาพในฟังก์ชัน AR
android.permission.WRITE_EXTERNAL_STORAGE	สิทธิ์การเข้าถึงที่เก็บข้อมูล | บันทึกภาพหน้าจอในอัลบั้มรูปภาพ
